dataset,output_dir,metric,test_metric,mechanism,method,ratio
train_text_imputed_mar_knn_05.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mar_knn_05,0.8302816152572632,1.0294028520584106,knn,mar,05.parquet
train_text_imputed_mar_knn_15.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mar_knn_15,0.771882951259613,1.0320762395858765,knn,mar,15.parquet
train_text_imputed_mar_knn_30.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mar_knn_30,0.6890515685081482,1.0892252922058105,knn,mar,30.parquet
train_text_imputed_mcar_knn_05.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mcar_knn_05,0.836039125919342,1.0242993831634521,knn,mcar,05.parquet
train_text_imputed_mcar_knn_15.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mcar_knn_15,0.791068971157074,1.035403847694397,knn,mcar,15.parquet
train_text_imputed_mcar_knn_30.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mcar_knn_30,0.7359805107116699,1.0487160682678223,knn,mcar,30.parquet
train_text_imputed_mar_simple_most_frequent_05.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mar_simple_most_frequent_05,0.9013653993606567,1.020648717880249,simple,mar,most
train_text_imputed_mar_simple_most_frequent_15.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mar_simple_most_frequent_15,0.968412458896637,1.0415213108062744,simple,mar,most
train_text_imputed_mar_simple_most_frequent_30.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mar_simple_most_frequent_30,1.1093140840530396,1.071977972984314,simple,mar,most
train_text_imputed_mar_simple_placeholder_05.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mar_simple_placeholder_05,0.8990394473075867,1.0178581476211548,simple,mar,placeholder
train_text_imputed_mar_simple_placeholder_15.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mar_simple_placeholder_15,0.9591712355613708,1.0360063314437866,simple,mar,placeholder
train_text_imputed_mar_simple_placeholder_30.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mar_simple_placeholder_30,1.1006441116333008,1.0601038932800293,simple,mar,placeholder
train_text_imputed_mcar_simple_most_frequent_05.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mcar_simple_most_frequent_05,0.9003815650939941,1.020066261291504,simple,mcar,most
train_text_imputed_mcar_simple_most_frequent_15.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mcar_simple_most_frequent_15,0.9774409532546997,1.0469406843185425,simple,mcar,most
train_text_imputed_mcar_simple_most_frequent_30.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mcar_simple_most_frequent_30,1.0915051698684692,1.048521876335144,simple,mcar,most
train_text_imputed_mcar_simple_placeholder_05.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mcar_simple_placeholder_05,0.8951347470283508,1.0230131149291992,simple,mcar,placeholder
train_text_imputed_mcar_simple_placeholder_15.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mcar_simple_placeholder_15,0.974650502204895,1.0509799718856812,simple,mcar,placeholder
train_text_imputed_mcar_simple_placeholder_30.parquet,/u/33/lil14/unix/Documents/Project/LLMImputation_ResearchMethodology/outputs/distilbert_imputed_runs/train_text_imputed_mcar_simple_placeholder_30,1.0888168811798096,1.048109531402588,simple,mcar,placeholder
